ncbi_taxon_id	relative_abundance	scientific_name
1350	0.000220593	Enterococcus
1663	0.00176474	Arthrobacter
61170	0.0211769	Holdemania
1120752	0.000441186	Nodosilinea
44249	0.000882371	Paenibacillus
28138	0.00264711	Rikenella
118747	0.000441186	Bulleidia
2005359	0.0165445	Unknown
100175	0.000220593	Papillibacter
658061	0.000220593	Candidatus_Koribacter
133925	0.000661778	Olsenella
29465	0.00286771	Veillonella
577310	0.00970608	Parasutterella
84036	0.000882371	Syntrophococcus
1485	0.0955167	Clostridium
28050	0.00507363	Lachnospira
1279388	0.000220593	Kandleria
715222	0.000220593	Caldicoprobacter
1678	0.324933	Bifidobacterium
866673	0.00242652	Marinifilum
-1	18.2097	Unknown
588605	0.0143385	Robinsoniella
420345	0.000220593	Lactonifactor
86331	0.000220593	Mogibacterium
1883	0.000220593	Streptomyces
1578	0.00176474	Lactobacillus
872	0.00264711	Desulfovibrio
52784	0.00242652	Anaerofilum
375928	0.000220593	Natranaerobius
1485594	0.000220593	Methyloligella
1647	0.000220593	Erysipelothrix
1813	0.000220593	Amycolatopsis
2039240	0.00727956	Unknown
41275	0.000220593	Brevundimonas
986106	0.00110296	Acidiferrobacter
1508657	0.154194	Ruminiclostridium
2697	0.00198534	Heliobacterium
244127	0.0408097	Anaerotruncus
776	0.00286771	Coxiella
572511	1.79739	Blautia
28453	0.000661778	Sphingobacterium
1301	0.0143385	Streptococcus
1164882	0.000220593	Lachnoanaerobaculum
447020	0.0174268	Adlercreutzia
423349	0.000220593	Mucilaginibacter
1263	0.605748	Ruminococcus
28222	0.000220593	Desulfobacula
294702	0.00794134	Proteiniphilum
40544	1.76165	Sutterella
816	55.6172	Bacteroides
146784	0.000220593	Bacteriovorax
264995	0.000882371	Anaerofustis
906	0.000882371	Megasphaera
12916	0.000441186	Acidovorax
904	0.799649	Acidaminococcus
1637257	0.000220593	Mageeibacillus
644652	0.0101473	Gordonibacter
1822464	0.000220593	Paraburkholderia
195950	0.000441186	Tannerella
970	0.000220593	Selenomonas
407	0.000441186	Methylobacterium
1730	2.48785	Eubacterium
1716	0.00110296	Corynebacterium
102106	0.317212	Collinsella
1505663	1.76783	Erysipelatoclostridium
698776	0.00176474	Cellulosilyticum
2086	0.000220593	Anaeroplasma
1357	0.0847076	Lactococcus
2733	0.000220593	Symbiobacterium
32207	0.00110296	Rothia
375288	3.23168	Parabacteroides
724	0.0092649	Haemophilus
100883	0.00375008	Coprobacillus
44748	0.0154415	Sporobacter
1115103	0.000220593	Wandonia
1506577	0.0247064	Tyzzerella
213485	0.000220593	Micavibrio
404	0.000220593	Methylobacillus
1380	0.000220593	Atopobium
216851	5.59534	Faecalibacterium
156973	0.00154415	Dysgonomonas
459786	0.443171	Oscillibacter
1386	0.0474274	Bacillus
914	0.000220593	Nitrosomonas
84108	0.000220593	Slackia
1843210	0.000220593	Anaerocolumna
46205	0.00220593	Pseudobutyrivibrio
39948	0.000441186	Dialister
233191	0.000220593	Caldilinea
390988	0.000220593	Actinocatenispora
346096	0.000220593	Paludibacter
830	0.00132356	Butyrivibrio
577309	0.00639719	Paraprevotella
469	0.000220593	Acinetobacter
1505657	0.078531	Intestinibacter
233189	0.000220593	Anaerolinea
41707	0.000220593	Lawsonia
189330	0.214637	Dorea
648800	0.000220593	Solibacillus
55080	0.00463245	Brevibacillus
44000	0.000661778	Caldicellulosiruptor
84111	0.218828	Eggerthella
2373	0.0628689	Acetonema
1505652	0.00463245	Terrisporobacter
32012	0.00838253	Thiomonas
1378	0.000661778	Gemella
162289	0.000220593	Peptoniphilus
1506553	0.956931	Lachnoclostridium
117563	0.00198534	Granulicatella
1654	0.00816193	Actinomyces
332102	0.000441186	Fluviicola
283168	0.28655	Odoribacter
2094023	0.000220593	Unknown
248744	0.000882371	Marvinbryantia
2147	0.000441186	Acholeplasma
253238	0.000441186	Ethanoligenens
357	0.000441186	Agrobacterium
990721	0.00352948	Christensenella
270497	0.00463245	Catabacter
60919	0.000220593	Sanguibacter
2048137	0.0641925	Unknown
33042	0.0443391	Coprococcus
1200657	0.000220593	Saccharofermentans
239759	2.46755	Alistipes
150022	0.000441186	Finegoldia
963	0.000661778	Herbaspirillum
397864	0.00286771	Barnesiella
35832	0.0933107	Bilophila
841	0.959137	Roseburia
456826	0.000220593	Candidatus_Cloacimonas
553372	0.000882371	Asaccharobacter
836	0.00375008	Porphyromonas
838	0.87465	Prevotella
1548510	0.00132356	Microbacter
207244	0.0150003	Anaerostipes
