ncbi_taxon_id	relative_abundance	scientific_name
1505664	0.00185099	Gottschalkia
836	0.00555298	Porphyromonas
28138	0.00370199	Rikenella
117563	0.00925497	Granulicatella
33986	0.00185099	Exiguobacterium
586	0.00555298	Providencia
2039240	0.373901	Unknown
1573536	0.00370199	Faecalicoccus
1301	0.623785	Streptococcus
52225	0.00185099	Mitsuokella
65551	0.00185099	Meiothermus
204475	0.0333179	Gemmiger
1573535	0.22397	Holdemanella
2723	0.00185099	Hirschia
577310	0.00370199	Parasutterella
239934	0.00925497	Akkermansia
44748	0.012957	Sporobacter
194	0.00185099	Campylobacter
872	0.012957	Desulfovibrio
2005359	0.00185099	Unknown
79206	0.00185099	Desulfosporosinus
165779	0.00370199	Anaerococcus
264995	0.00185099	Anaerofustis
2172	0.00555298	Methanobrevibacter
574697	0.00185099	Butyricimonas
43996	0.00185099	Catonella
795750	0.00185099	Ignavibacterium
841	0.634891	Roseburia
83660	0.00740398	Desulfonispora
100175	0.00555298	Papillibacter
2023	0.00185099	Thermoactinomyces
1386	0.00555298	Bacillus
283168	0.0647848	Odoribacter
189330	0.407219	Dorea
375288	1.59	Parabacteroides
459786	0.212864	Oscillibacter
1263	0.732994	Ruminococcus
1350	0.00925497	Enterococcus
182639	0.00370199	Kribbella
94008	0.00185099	Thermicanus
1508657	0.00370199	Ruminiclostridium
1236988	0.00370199	Geofilum
84108	0.00370199	Slackia
1380	0.00555298	Atopobium
33042	0.39056	Coprococcus
698776	0.00370199	Cellulosilyticum
2057233	0.00185099	Unknown
547	0.00185099	Enterobacter
233191	0.00185099	Caldilinea
904	0.012957	Acidaminococcus
374	0.00185099	Bradyrhizobium
226	0.00185099	Alteromonas
241189	0.00370199	Hespellia
86331	0.00740398	Mogibacterium
2040476	0.0203609	Unknown
670486	0.00185099	Dehalogenimonas
724	0.314669	Haemophilus
1716	0.0203609	Corynebacterium
642	0.00370199	Aeromonas
572511	0.401666	Blautia
13334	0.00185099	Anaerobiospirillum
416916	0.00370199	Aggregatibacter
442430	0.00185099	Coraliomargarita
66862	0.00185099	Ammoniphilus
469	0.00185099	Acinetobacter
44249	0.00370199	Paenibacillus
2048137	0.0832948	Unknown
36853	0.00185099	Desulfitobacterium
1827	0.00185099	Rhodococcus
1578	0.0240629	Lactobacillus
1506553	0.181397	Lachnoclostridium
46205	0.00370199	Pseudobutyrivibrio
570	0.00555298	Klebsiella
838	27.9445	Prevotella
244127	0.146229	Anaerotruncus
40544	0.0481259	Sutterella
1279	0.00370199	Staphylococcus
1485	0.0222119	Clostridium
52784	0.011106	Anaerofilum
286	0.00740398	Pseudomonas
590	0.0259139	Salmonella
420345	0.00555298	Lactonifactor
39948	0.0351689	Dialister
848	0.00555298	Fusobacterium
1357	0.00740398	Lactococcus
2304692	0.0777418	Unknown
906	0.00185099	Megasphaera
762551	0.00185099	Jejuia
346096	0.00370199	Paludibacter
158846	0.00370199	Megamonas
216851	10.7136	Faecalibacterium
626	0.00185099	Xenorhabdus
29465	0.42758	Veillonella
28453	0.00185099	Sphingobacterium
1730	0.52013	Eubacterium
577309	0.00185099	Paraprevotella
239759	0.87367	Alistipes
162289	0.00925497	Peptoniphilus
583	0.00370199	Proteus
990721	0.0703378	Christensenella
1678	0.0444239	Bifidobacterium
2529408	0.00185099	Unknown
816	4.82184	Bacteroides
561	0.00185099	Escherichia
1378	0.00370199	Gemella
629	0.00555298	Yersinia
-1	47.5909	Unknown
